# T       <Sz^2>          <Q>        <Q^2>          <E>        <E^2>            C            F            S
3.711245687e-12 0.00117633 1.86826e-13 -0.000148282 0.335853 1.35455 0.0160345 0.327565 0.00828728 
2.624246992e-12 0.000923646 1.91748e-13 0.000260441 -0.327856 -1.29983 0.00678271 -0.333996 0.00613971 
1.855622843e-12 0.000569486 1.91465e-13 -0.000149324 0.33395 1.34241 0.0121078 0.329652 0.0042979 
1.312123496e-12 0.000494704 1.94934e-13 0.000261589 -0.329578 -1.30893 0.00397574 -0.332897 0.00331902 
9.278114217e-13 0.000265999 1.95066e-13 -0.000149856 0.332998 1.33633 0.0101419 0.330695 0.00230241 
6.56061748e-13 0.00028021 1.9677e-13 0.000262167 -0.33044 -1.31348 0.00257086 -0.332348 0.00190837 
4.639057109e-13 0.000114179 1.93107e-13 -0.000150138 0.332521 1.33329 0.00915197 0.331217 0.00130408 
3.28030874e-13 0.00017296 1.82741e-13 0.000262456 -0.33087 -1.31576 0.0018682 -0.332073 0.00120301 
2.319528554e-13 3.83029e-05 1.73446e-13 -0.000150274 0.332283 1.33177 0.00866042 0.331478 0.00080515 
1.64015437e-13 0.000119334 1.70713e-13 0.000262601 -0.331086 -1.3169 0.00151683 -0.331936 0.000850325 
1.159764277e-13 3.646e-07 1.77611e-13 -0.000150342 0.332164 1.33101 0.00841461 0.331609 0.000555682 
8.20077185e-14 9.25214e-05 1.88497e-13 0.000262673 -0.331194 -1.31747 0.00134114 -0.331868 0.00067398 
5.798821386e-14 -1.86047e-05 1.90622e-13 -0.000150376 0.332105 1.33063 0.00829169 0.331674 0.000430947 
4.100385925e-14 7.9115e-05 1.87087e-13 0.000262709 -0.331247 -1.31775 0.00125329 -0.331833 0.000585808 
2.899410693e-14 -2.80893e-05 1.79657e-13 -0.000150393 0.332075 1.33044 0.00823024 0.331706 0.000368579 
2.050192962e-14 7.23976e-05 1.81272e-13 0.000262759 -0.331275 -1.3179 0.00120309 -0.331816 0.000541219 
1.449705346e-14 -3.28317e-05 1.81392e-13 -0.000150402 0.33206 1.33034 0.00819951 0.331723 0.000337395 
1.025096481e-14 6.905e-05 1.90327e-13 0.000262738 -0.331289 -1.31798 0.00117681 -0.331807 0.000518882 
7.248526732e-15 -3.51194e-05 2.03011e-13 -0.000150312 0.332054 1.33033 0.00820687 0.331731 0.000323538 
5.125482406e-15 6.73527e-05 2.15715e-13 0.000262656 -0.331296 -1.31803 0.00115142 -0.331803 0.000506879 
3.624263366e-15 -3.62834e-05 2.22901e-13 -0.000149873 0.332053 1.33035 0.00823459 0.331735 0.000318454 
2.562741203e-15 6.65148e-05 2.37488e-13 0.000262659 -0.3313 -1.31805 0.00114594 -0.331801 0.000501369 
1.812131683e-15 -3.68762e-05 2.53015e-13 -0.000149874 0.332051 1.33034 0.00823075 0.331737 0.000314555 
1.281370602e-15 6.60959e-05 2.61656e-13 0.00026266 -0.331301 -1.31806 0.0011432 -0.3318 0.000498614 
